Hospital Name,Address,LATITUDE,LONGITUDE
Sanjeevan Medical Research Centre (P) Ltd.,"#4869/24, Ansari Road, Darya Gunj",28.644122,77.244259
Satyam Hospital Pvt. Ltd.,"# A4/63, 64-65, Sector-16, Rohini",28.75562,77.094395
Sehgal Nursing Home,"B-364 Meera Bagh, Outer Ring Rd",28.667094,77.08861
Shanti Mukand Hospital,"2, Institutional Area, Vikas Marg Extn",28.650825,77.301324
Shanti Nursing Home,"E-1 Panchsheel Garden, Navin Shahdara",28.683359,77.282587
Sharma Nursing Home,C-1/6 Janak Puri,28.611915,77.093418
Shri Balaji Hospital (P) Ltd,"Opp Rohini D.D.A Office , Pitampura",28.710463,77.118427
Shri Ram Singh Hospital & Heart Institute,"B-25, 26A, East Krishna Nagar Swaran Cinema Road",28.666341,77.287419
Dr.Shroff'S Charity Eye Hospital,"# 5027, Kedar Nath Road Opp Golcha Cinema",28.646984,77.242285
Shroff Eye Centre,"A-9, Kailash Colony",28.560702,77.241045
Shubham Hospital,Dd-15-Kalkaji,28.556782,77.25919
Sitaram Bhartia Institute Of Science 7 Research,"B-16 Qutub Institutional Area, New Delhi-110016Instutional Area",28.537857,77.184693
South Point Hospital,"G-48, 49 Masjid Moth Greater Kailash 2",28.553164,77.229715
Spring Dales Medical Centre,"D-4, Prashant Vihar Outer Ring Road), Rohini",28.725518,77.13422
Paras Spring Meadows Hospital,"F-44, East Of Kailash",28.558365,77.243573
Sri Balaji Action Medical Institute,"Fc- 34, A-4, Paschim Vihar",28.674285,77.110695
St Stephens Hospital,Tis Hazari,28.6686,77.214978
Sukhda Hospital,"Local Shoppng Centre, Pamposh Enclave",28.559798,77.246143
Sunder Lal Jain Charitable Hospital,Ashok Vihar,28.691881,77.181584
Sunetra Eye Centre,"S-52, Panchshila Park, Near Malviya Nagar",28.549846,77.213923
Sunil Hospital & Nursing Home,"15/199-200 Malviya Nagarmain , Panchsheel Shivalik",28.542608,77.209803
Swasthik Hospital,"#14, Gopalnagar",28.717991,77.17959
Sawan Neelu Angel'S Nursing Home,"J-293, Saket",28.520175,77.212895
Satya Bhama Hosptial,"#126/105, Najafgarh Raod, Nangloi",28.594658,77.00321
Swastik Medical Centre,"C-164, Anand Vihar",28.66137,77.313486
Talwar Medical Centre,"M-139, Greater Kailash-2",28.551354,77.248203
Taneja Hospital (Managed & Operated By Altius Healthcare Pvt Ltd),"F-15, Preet Vihar, Vikas Marg",28.641033,77.292054
Fortis Hospitals Ltd.(Fortis La Femme (A Unit Of Fortis Health Management (North) Ltd)),"S-549, Greater Kailash Part-Ii",28.532655,77.243817
Thecity Clinic (Unitof Siddharth Medical Services (P) Ltd),"#17-A/1, Asaf Ali Road",28.641805,77.234034
Tirath Ram Shah Charitable Hospital,"# 2A, R.B.L.Isher Das Sawhney Marg Rajpur Roadmarg, Rajpur Road",28.67357,77.217381
Tirupathi Medical Centre,"C-10, Gitanjali Road, Shivalik Panchsheel",28.544116,77.203571
Tirupati Stone Centre & Hospital,"6, Gagan Vihar ( Near Karkadi Mor Flyover )",28.662274,77.298328
Tulasi Aushadshala,"Qutab, Institutional Area, Shamsi Talab, Mehrauli",28.51531,77.1792
Tyagi Nursing Home Pvt. Ltd.,"66/3, 66/4, Ashoknagar",28.70685,77.298328
Upchaar,"A-95, Ashok Vihar, Phase-1I",28.703838,77.177187
Vardaan Hospital,"B-100, Malviya Nagar",28.550751,77.218678
Vashishta Clinic & Hospital For Orthopaedics,"B-35, Shivalik, Panchsheel, Geethanjali Road",28.537179,77.205683
Vinayak Hospital,"Plot No.2, Derawal Nagar, Opp. Model Town",28.706247,77.187487
Vision Eye Centre,"#12/27, West Patel Nagar",28.642295,77.17436
Visitech Hospital (P) Ltd,"R-13, Geater Kailash Part-Ii",28.556179,77.238985
Manav Medicare Centre,"E-11, South Extension Part",28.581507,77.222506
Agarwal Medical Centre,"E-234, Greater Kailash",28.561004,77.242023
Malik Nursing Home,"B-1297-98 Gharoli Dairy Colony, Opp Pocket A1, Mayur Vihar Ph-3",28.628528,76.985218
Anand Hospital,"B-52, New Krishna Park, Dholi Piao, Vikas Puri",28.63576,77.073847
Nazar Kanwar Surana Hospital,"219/220, N.K. Surana Marg, Gulabi Bagh, Near Gurudwara",28.675622,77.190475
Narula Medicare Centre,"#179, Madhuban 92, Nearpanjab National Bank",28.63576,77.288621
Kesar Nursing Home,"Wz61A/3B, Vashisht Park, Pawkha Road",28.609296,77.100288
Mahajan Children Hospital & Nursing Home,"I-50, Arya Samaj Raod, Uttamnagar",28.634555,77.058689
Sarthak Medical Centre,"Rz-2C, Main Road, Opp Primary School, Palam Village",28.55437,77.210438
Saraswati Nursing Home,"130-C, Gautam Nagar",28.562399,77.212447
Silver Line Nursing Home,"B-1, West Vinod Nagar",28.628377,77.299092
Ganesh Ortho Trauma & Medical Centre,"F-15/7, Krishna Nagar.Near Bses Office",28.663931,77.283128
Gupta Medical Centre,B-5/7 Paschim Vihar,28.662876,77.294895
Sehgal'S Nursing Home & Neurological Research Institute,"B-21, 22, Kailash Colony",28.553899,77.242617
Mohan Eye Institute,"11-B, Ganga Ram Hospital Marg",28.64028,77.190358
Shri Jiyalal Hospital & Maternity Centre,"6, Inder Encl, Nr Peera Garhi Chowk, Rohtak Rd, Peera Garhi",28.679387,77.094838
Sodhi Nursing Home & Ent Hospital,"No.455, Bhera Enclave, Paschim Vihar",28.677335,77.08758
Singhal Hospital,"C-40, Street No.9, Sadh Nagar, Nazafgarh",28.596279,77.092043
Mangla Aggarwal Medical Centre Pvt Ltd,No.C-127 Ganesh Nagar Tilak Nagar,28.639188,77.089685
